chr2R	17275411	17276063
chr3L	27331995	27332346
chr4	449925	450509
chr3L	24725825	24726292
chr2R	5423751	5424239
chr4	1022243	1023680
chr2R	3938553	3938885
chr3L	14680200	14680787
chr2R	3918152	3919358
chr3R	13131368	13133093
chr3L	14680197	14680787
chr3L	7662472	7663324
chr2R	4029742	4030297
chr2R	4606765	4607320
chr4	390426	391544
chr3L	27292883	27293271
chr2L	19166086	19166358
chr2R	2521442	2522730
chr3R	3523413	3523945
chr2R	1926296	1926863
chr4	72322	87166
chr4	898394	903471
chr4	1129436	1130586
chrX	15819597	15820553
chr3R	9432030	9432839
chr3L	12851310	12852277
chr2R	5316270	5320615
chr4	1247103	1250883
chr2R	4711815	4712775
chrX	17877422	17878516
chr3L	25969035	25969627
chr4	72322	72862
chr2L	22927439	22927903
chr2R	13916855	13917910
chr2R	5241897	5246137
chr2R	10561697	10562190
chr3R	14066542	14067152
chr3R	3468908	3469476
chr2R	16424039	16424651
chrX	11397826	11398822
chr2R	9265491	9267976
chr3L	8635682	8637598
chr3R	4626974	4628349
chrX	15936800	15937031
chr2R	24771726	24772795
chr2L	16690903	16692124
chr2R	1076636	1080441
chr2R	3933012	3933463
chr4	1119938	1120801
chr4	450243	450509
chr2L	9503594	9504813
chr3R	7864262	7865761
chr3L	135459	136335
chr2R	12722306	12723006
chr3L	8098347	8099536
chr2L	7209350	7209653
chr4	1261953	1265409
chr3L	7662472	7662890
chr2R	2053025	2053618
chrX	11395241	11396103
chr2R	10532040	10533968
chr2R	21138227	21139232
chr3L	8070953	8072493
chr3R	13430924	13431353
chr3L	18887062	18887746
chrX	18372032	18373455
chr3L	11150874	11151557
chr2R	8678431	8679134
chr3L	3443459	3447724
chr3R	9354423	9355083
chr2R	11099533	11100114
chr2R	5203753	5204278
chr3R	26554358	26555651
chrX	8191813	8192161
chr2L	1690118	1690755
chr3L	20168477	20169063
chr2R	10794126	10794484
chrX	12829711	12832340
chrX	1251173	1252096
chr4	72322	94615
chrX	12730935	12732400
chr3L	313025	314317
chr4	938333	939117
chr3R	9217988	9218763
chr2R	1367501	1368609
chr2R	2520580	2522730
chr2L	22643130	22643882
chr2R	20595558	20598694
chr2L	22927439	22927765
chr3L	6523031	6524096
chr2R	1995174	1995906
chr3R	4795738	4797697
chr3R	23209343	23209883
chr2R	5320009	5320615
chr2R	15292774	15293561
chr2R	2493960	2495023
chr4	521474	526520
chr4	1004159	1004618
chr3L	25961361	25978150
chr3L	13602343	13608846
chr3L	27856783	27857933
chr4	639016	640736
chr3R	9546799	9549810
chr3R	7858939	7865761
chr3L	2534712	2541403
chr3L	24728298	24734187
chr3L	24253794	24258636
chr3R	19827655	19829042
chr2R	15452858	15456815
chr2L	227373	231034
chr3R	21995521	21996787
chr3R	30067076	30068420
chr4	1247103	1255998
chr4	94424	99475
chr3R	15131609	15139773
chr3L	19055396	19055945
chr3L	21914777	21915655
chr2L	7107142	7107551
chrX	23088716	23090413
chr2R	5483844	5484653
chr3R	4093947	4095991
chr2L	19166086	19171251
chr2L	20881988	20882464
chr2L	13609792	13610578
chr2R	17901709	17903679
chr3L	2540978	2541403
chr3L	2534712	2536218
chr2L	16174417	16175007
chr2R	19477617	19478865
chr4	953514	955050
chr2L	22990755	22992125
chr2L	12432810	12432943
chr2R	23722211	23722875
chr2R	1866139	1867050
chr3R	9546799	9547370
chr3R	9432033	9432839
chr3R	15131609	15140128
chr3R	23197288	23197976
chrX	15959804	15960912
chr2L	16527391	16528439
chr3L	4577918	4580159
chr3L	27146396	27147695
chr2R	4378370	4379155
chr4	94424	95002
chr3L	17602676	17603383
chr2L	17737965	17739713
chr3R	19493966	19494318
chr3R	25546162	25546505
chr2R	21204614	21205541
chr3L	4751965	4753381
chr2L	10126002	10127877
chr2R	17275411	17316138
chr2L	3097923	3108861
chrX	13967271	13968073
chr2L	16322961	16323517
chr4	473148	474768
chr3L	22831938	22833799
chr2R	23665295	23666035
chr4	1233130	1234799
chr3R	31433460	31433888
chr3R	3849498	3850233
chr3R	25709292	25710147
chr3R	9445045	9446497
chr2L	21311754	21312208
chr4	75069	87166
chr3R	26566362	26567745
chr3R	28333710	28334707
chr2L	21273325	21274429
chr3R	22953002	22953468
chr3L	7803270	7804707
chrX	13750317	13752027
chr3R	3584979	3585508
chr2L	21616183	21616573
chrX	16744615	16745953
chr3L	25625255	25671188
chr4	72322	75165
chrX	3721377	3721647
chr3R	16166537	16167265
chrX	10575391	10576156
chr2R	17275411	17362097
chrX	11222020	11222254
chr2L	18209770	18211298
chr3L	27987737	27988700
chrX	8531526	8532464
chrX	2641126	2642093
chrX	13219749	13220146
chr2L	5274020	5275780
chr4	1248304	1248836
chr3L	15946909	15947579
chr2R	9231749	9232732
chr3R	19087406	19088300
chr2L	21273325	21275806
chr3L	14664297	14665070
chr3R	26924635	26925261
chr2L	1741661	1742260
chr2R	13180991	13183234
chr2L	20431925	20432729
chr3L	23007329	23007707
chr2R	14961387	14961841
chr3R	9119170	9121425
chrX	16513716	16522153
chr2L	14195734	14197867
chrX	15392371	15400814
chr3R	5939365	5939938
chr3L	3445366	3447724
chr3L	3593330	3594742
chr4	992067	998705
chr2L	18776150	18810684
chr4	992067	1004618
chr3R	10866530	10866976
chr2R	6249413	6250852
chr3L	23873611	23874431
chr3R	4697192	4698255
chr2L	10226006	10226338
chr2R	9667366	9667774
chrX	3692954	3693932
chr3R	23806627	23808029
chr2R	22004709	22020871
chr2L	8223826	8226606
chr3R	24687188	24691933
chr3L	3594652	3598621
chr3R	9440682	9441665
chr2L	9233989	9235263
chrX	11395241	11400832
chr3L	25969035	25978150
chr3R	23191697	23209883
chrX	21060496	21061557
chrX	7662113	7663554
chr3L	8469411	8469691
chr3R	4799693	4801991
chr2R	7947606	7948520
chr3R	4282675	4295700
chr4	680441	681135
chrX	17720588	17721615
chr3R	29597242	29597908
chr2R	21998802	22020871
chr4	185828	186840
chr3L	8106017	8106949
chr3L	22546932	22547938
chr3L	24725825	24728508
chrX	16503991	16514184
chr3L	547483	548067
chr2L	8105693	8107880
chr3L	15858102	15860026
chr3R	18008866	18010574
chr3R	24045439	24046491
chrX	5396185	5396600
chr3L	5703926	5706573
chr2R	8674648	8676607
chr3R	24590573	24591421
chrX	9643658	9644367
chrX	13085597	13087140
chr2L	20903017	20903559
chr2R	10128582	10129029
chr2L	2808981	2810643
chr4	1193561	1196477
chr2L	7234528	7234997
chr3R	28235076	28235453
chr3L	1172759	1174607
chr3L	23325643	23326760
chr4	85713	87166
chr3L	7661982	7662890
chr2R	7424186	7426239
chr4	882962	903471
chr2R	4700390	4701261
chrX	8640361	8642867
chrX	893223	894305
chr2R	12617796	12618311
chr2R	4560362	4563081
chr4	1043469	1045248
chr3L	4324923	4325410
chr4	1247103	1265409
chrX	22985306	22986568
chr4	302243	302526
chr2R	9049881	9051151
chrX	10743804	10765802
chr3R	24012984	24013628
chrX	2671122	2671822
chr2L	12240869	12241780
chr3R	21625166	21626850
chrX	9811789	9812156
chr2R	4695120	4695610
chr3L	25625282	25671188
chr2R	22000701	22020871
chr2R	19574004	19574326
chr3L	2484565	2485228
chr2R	7725690	7729708
chr3L	25961361	25969627
chr2R	22162906	22164989
chr2R	14038711	14040779
chr3R	19189352	19190576
chr2L	8563740	8564296
chr3R	10992906	10993605
chr3L	9660643	9664244
chr2R	5716650	5717766
chr3R	30800039	30800963
chr2L	21384456	21385397
chrX	13649378	13650067
chr3L	4390451	4391221
chr2R	5241897	5242582
chr2L	1909670	1910149
chr2R	20613066	20614933
chr3L	9159611	9162974
chrX	15305830	15311216
chr2R	9124745	9126213
chr2L	1158080	1158262
chr2L	8283410	8284220
chr3L	23002054	23002443
chr3R	13232680	13233124
chr3R	11023469	11023817
chr2L	3094218	3108861
chr3R	15131609	15140086
chr2R	23642240	23643272
chr3R	14859310	14860067
chr2L	1741661	1743779
chr2R	19573989	19574326
chr2R	19628482	19629070
chr3L	27844504	27857933
chr3R	30816876	30818207
chr2R	14150227	14151926
chr3L	21907347	21907920
chr3L	3769079	3769406
chr2R	9125552	9126213
chr3L	25764216	25765229
chrX	5120184	5120647
chr2R	4599270	4607320
chr4	925084	926661
chr2R	3918152	3933463
chr3R	6566136	6566877
chr3L	16148409	16148958
chr3R	6436726	6439007
chrX	6128379	6132313
chr4	996513	998705
chr2R	6733629	6734911
chrX	8867550	8868224
chrX	15305830	15306579
chr2R	13185785	13187908
chr3L	21424455	21425545
chr3R	8108233	8111301
chr3L	505888	506356
chr3L	19069488	19070099
chrX	22457428	22458260
chr3L	4180732	4182873
chrX	6644563	6645338
chr2R	16931113	16932578
chr2L	7040474	7041159
chr2L	12593626	12594670
chrX	4349005	4349712
chr2R	9125552	9126066
chr4	1233130	1233510
chr2L	2704927	2712136
chrX	22493482	22494275
chr2R	17275411	17295876
chr3R	15954159	15957919
chrX	2521535	2522421
chr3L	23889106	23890206
chr3L	462182	462558
chr2L	15737629	15740899
chr3R	13128111	13133093
chr3R	29845600	29847071
chr4	72322	82746
chr3L	15910502	15911652
chr3L	9418345	9419271
chr3L	9107343	9108191
chrX	12475641	12475997
chrX	1624139	1637334
chr2L	10409712	10410409
chr3R	15295114	15295544
chrX	3374941	3376233
chr3R	24687188	24687905
chr4	72322	99475
chr4	474961	477102
chr4	882618	883641
chr3R	25396713	25397562
chr3R	10014991	10015926
chr3R	26081893	26088347
chr3R	23217880	23219249
chr3R	18973989	18974301
chr2R	11895157	11895437
chr3L	23262709	23264364
chr3R	4201844	4202797
chrX	23205267	23205379
chr4	281725	282738
chr2R	4350550	4351218
chr2R	10793845	10794484
chr3R	26077473	26088347
chr2L	16557880	16559944
chrX	6630706	6631105
chr2R	19158735	19159352
chr3L	17721810	17723285
chr2R	16759253	16760714
